iter	Passed	Remaining
939	2145063	136918
940	2147661	134656
941	2150171	132388
942	2152662	130118
943	2155187	127850
944	2157650	125577
945	2160136	123305
946	2162412	121022
947	2164538	118729
948	2166712	116440
949	2168870	114151
950	2170999	111860
951	2173114	109568
952	2175222	107277
953	2177345	104987
954	2179470	102697
955	2181566	100406
956	2183669	98116
957	2185786	95827
958	2187896	93538
959	2190019	91250
960	2192162	88963
961	2194291	86676
962	2196417	84389
963	2198547	82103
964	2200681	79817
965	2202873	77533
966	2205036	75249
967	2207138	72963
968	2209256	70677
969	2211378	68393
970	2213496	66108
971	2215624	63824
972	2217724	61540
973	2219919	59258
974	2222117	56977
975	2224303	54695
976	2226480	52414
977	2228635	50132
978	2230784	47851
979	2232962	45570
980	2235117	43289
981	2237300	41009
982	2239461	38729
983	2241610	36448
984	2243786	34169
985	2245987	31890
986	2248164	29611
987	2250331	27331
988	2252473	25052
989	2254648	22774
990	2256812	20495
991	2258980	18217
992	2261174	15939
993	2263339	13662
994	2265498	11384
995	2267666	9107
996	2269831	6829
997	2272015	4553
998	2274183	2276
999	2276375	0
